video_stem,n_frames,duplications_needed,case
3615,6,3,3_duplications
3616,9,0,0_duplications (super-image complète)
3617,7,2,2_duplications
3618,8,1,1_duplication
3619,9,0,0_duplications (super-image complète)
362,5,4,4_duplications
3620,6,3,3_duplications
3621,8,1,1_duplication
3623,7,2,2_duplications
3625,6,3,3_duplications
3626,9,0,0_duplications (super-image complète)
3628,9,0,0_duplications (super-image complète)
3629,8,1,1_duplication
3632,4,5,5_duplications
3633,6,3,3_duplications
3637,3,6,6_duplications
3638,7,2,2_duplications
3639,6,3,3_duplications
364,7,2,2_duplications
3640,7,2,2_duplications
3641,6,3,3_duplications
3642,5,4,4_duplications
3643,4,5,5_duplications
3644,5,4,4_duplications
3645,5,4,4_duplications
3646,7,2,2_duplications
3648,6,3,3_duplications
3651,8,1,1_duplication
3652,3,6,6_duplications
3653,3,6,6_duplications
3654,8,1,1_duplication
3655,7,2,2_duplications
3656,4,5,5_duplications
3657,3,6,6_duplications
3658,4,5,5_duplications
3659,6,3,3_duplications
366,8,1,1_duplication
3660,5,4,4_duplications
3661,7,2,2_duplications
3662,4,5,5_duplications
3663,4,5,5_duplications
3666,4,5,5_duplications
3668,4,5,5_duplications
3669,5,4,4_duplications
3670,4,5,5_duplications
3671,5,4,4_duplications
3672,8,1,1_duplication
3674,4,5,5_duplications
3675,1,8,8_duplications (9x la même photo)
3677,8,1,1_duplication
3678,6,3,3_duplications
3679,8,1,1_duplication
3680,3,6,6_duplications
3681,9,0,0_duplications (super-image complète)
3683,8,1,1_duplication
3684,8,1,1_duplication
3686,4,5,5_duplications
3687,6,3,3_duplications
3688,4,5,5_duplications
369,8,1,1_duplication
3690,4,5,5_duplications
3691,2,7,7_duplications
3693,2,7,7_duplications
3694,9,0,0_duplications (super-image complète)
3695,4,5,5_duplications
3696,4,5,5_duplications
3697,5,4,4_duplications
3698,2,7,7_duplications
3700,4,5,5_duplications
372,6,3,3_duplications
373,8,1,1_duplication
375,7,2,2_duplications
377,6,3,3_duplications
378,8,1,1_duplication
379,5,4,4_duplications
381,6,3,3_duplications
382,7,2,2_duplications
384,9,0,0_duplications (super-image complète)
385,7,2,2_duplications
386,9,0,0_duplications (super-image complète)
387,8,1,1_duplication
388,8,1,1_duplication
389,8,1,1_duplication
390,3,6,6_duplications
391,8,1,1_duplication
392,3,6,6_duplications
393,8,1,1_duplication
397,5,4,4_duplications
398,8,1,1_duplication
400,8,1,1_duplication
401,9,0,0_duplications (super-image complète)
403,8,1,1_duplication
404,7,2,2_duplications
405,9,0,0_duplications (super-image complète)
406,8,1,1_duplication
407,8,1,1_duplication
408,9,0,0_duplications (super-image complète)
409,6,3,3_duplications
410,8,1,1_duplication
411,8,1,1_duplication
412,8,1,1_duplication
414,9,0,0_duplications (super-image complète)
415,4,5,5_duplications
416,7,2,2_duplications
417,6,3,3_duplications
418,3,6,6_duplications
419,3,6,6_duplications
420,8,1,1_duplication
421,5,4,4_duplications
422,7,2,2_duplications
424,4,5,5_duplications
425,7,2,2_duplications
426,7,2,2_duplications
428,6,3,3_duplications
429,8,1,1_duplication
431,4,5,5_duplications
432,4,5,5_duplications
433,9,0,0_duplications (super-image complète)
434,5,4,4_duplications
435,6,3,3_duplications
436,7,2,2_duplications
438,3,6,6_duplications
439,5,4,4_duplications
440,4,5,5_duplications
444,8,1,1_duplication
445,6,3,3_duplications
446,9,0,0_duplications (super-image complète)
447,8,1,1_duplication
449,8,1,1_duplication
452,7,2,2_duplications
453,5,4,4_duplications
455,9,0,0_duplications (super-image complète)
456,6,3,3_duplications
457,4,5,5_duplications
458,4,5,5_duplications
459,5,4,4_duplications
460,8,1,1_duplication
462,4,5,5_duplications
463,5,4,4_duplications
4638,4,5,5_duplications
464,8,1,1_duplication
4641,8,1,1_duplication
4642,5,4,4_duplications
4644,7,2,2_duplications
4645,6,3,3_duplications
4647,6,3,3_duplications
465,8,1,1_duplication
4650,6,3,3_duplications
4652,6,3,3_duplications
4653,8,1,1_duplication
4654,5,4,4_duplications
4655,6,3,3_duplications
4656,8,1,1_duplication
4657,9,0,0_duplications (super-image complète)
4658,6,3,3_duplications
4659,8,1,1_duplication
466,8,1,1_duplication
4661,5,4,4_duplications
4662,9,0,0_duplications (super-image complète)
4663,8,1,1_duplication
4664,8,1,1_duplication
4665,4,5,5_duplications
4667,3,6,6_duplications
4668,5,4,4_duplications
4669,8,1,1_duplication
467,7,2,2_duplications
4670,8,1,1_duplication
4671,9,0,0_duplications (super-image complète)
4672,9,0,0_duplications (super-image complète)
4673,4,5,5_duplications
4674,6,3,3_duplications
4676,3,6,6_duplications
4678,6,3,3_duplications
468,5,4,4_duplications
4680,4,5,5_duplications
4682,9,0,0_duplications (super-image complète)
4683,7,2,2_duplications
4684,9,0,0_duplications (super-image complète)
4687,8,1,1_duplication
4689,9,0,0_duplications (super-image complète)
469,6,3,3_duplications
4690,8,1,1_duplication
4691,8,1,1_duplication
4693,8,1,1_duplication
4694,8,1,1_duplication
4695,7,2,2_duplications
4696,6,3,3_duplications
4697,9,0,0_duplications (super-image complète)
4699,6,3,3_duplications
470,8,1,1_duplication
4700,6,3,3_duplications
4702,9,0,0_duplications (super-image complète)
4703,7,2,2_duplications
4704,6,3,3_duplications
4706,9,0,0_duplications (super-image complète)
4707,9,0,0_duplications (super-image complète)
4708,6,3,3_duplications
471,8,1,1_duplication
4710,1,8,8_duplications (9x la même photo)
4713,9,0,0_duplications (super-image complète)
4715,8,1,1_duplication
4716,2,7,7_duplications
4717,2,7,7_duplications
4720,1,8,8_duplications (9x la même photo)
4721,2,7,7_duplications
4723,4,5,5_duplications
4725,4,5,5_duplications
4728,2,7,7_duplications
4729,8,1,1_duplication
473,5,4,4_duplications
4732,7,2,2_duplications
4734,7,2,2_duplications
4735,4,5,5_duplications
4736,3,6,6_duplications
4737,1,8,8_duplications (9x la même photo)
4738,1,8,8_duplications (9x la même photo)
4739,2,7,7_duplications
4740,1,8,8_duplications (9x la même photo)
4742,7,2,2_duplications
4743,8,1,1_duplication
4744,4,5,5_duplications
4746,8,1,1_duplication
4747,3,6,6_duplications
4748,2,7,7_duplications
4750,1,8,8_duplications (9x la même photo)
4754,2,7,7_duplications
4755,1,8,8_duplications (9x la même photo)
4759,4,5,5_duplications
476,4,5,5_duplications
4760,4,5,5_duplications
4763,2,7,7_duplications
4764,6,3,3_duplications
4766,1,8,8_duplications (9x la même photo)
4767,2,7,7_duplications
4769,6,3,3_duplications
477,4,5,5_duplications
4770,2,7,7_duplications
4771,3,6,6_duplications
4772,9,0,0_duplications (super-image complète)
4773,3,6,6_duplications
4775,1,8,8_duplications (9x la même photo)
4776,2,7,7_duplications
4777,6,3,3_duplications
4778,1,8,8_duplications (9x la même photo)
4779,2,7,7_duplications
478,8,1,1_duplication
4782,1,8,8_duplications (9x la même photo)
4783,2,7,7_duplications
4784,2,7,7_duplications
4785,7,2,2_duplications
4786,1,8,8_duplications (9x la même photo)
4787,2,7,7_duplications
4788,5,4,4_duplications
479,4,5,5_duplications
4793,5,4,4_duplications
4794,9,0,0_duplications (super-image complète)
4795,1,8,8_duplications (9x la même photo)
4796,3,6,6_duplications
4797,1,8,8_duplications (9x la même photo)
4798,7,2,2_duplications
4799,4,5,5_duplications
480,9,0,0_duplications (super-image complète)
4800,4,5,5_duplications
4801,3,6,6_duplications
4802,7,2,2_duplications
4803,1,8,8_duplications (9x la même photo)
4804,1,8,8_duplications (9x la même photo)
4805,7,2,2_duplications
4806,2,7,7_duplications
4808,1,8,8_duplications (9x la même photo)
4809,7,2,2_duplications
4810,9,0,0_duplications (super-image complète)
4812,1,8,8_duplications (9x la même photo)
4813,6,3,3_duplications
4814,3,6,6_duplications
4817,1,8,8_duplications (9x la même photo)
4818,1,8,8_duplications (9x la même photo)
4819,5,4,4_duplications
482,3,6,6_duplications
4820,3,6,6_duplications
4821,8,1,1_duplication
4824,1,8,8_duplications (9x la même photo)
4825,2,7,7_duplications
4826,5,4,4_duplications
4827,4,5,5_duplications
483,3,6,6_duplications
4830,3,6,6_duplications
4831,2,7,7_duplications
4832,6,3,3_duplications
4833,4,5,5_duplications
4835,4,5,5_duplications
4837,9,0,0_duplications (super-image complète)
4838,9,0,0_duplications (super-image complète)
4840,5,4,4_duplications
4841,5,4,4_duplications
4842,6,3,3_duplications
4843,4,5,5_duplications
4844,5,4,4_duplications
4845,9,0,0_duplications (super-image complète)
4846,8,1,1_duplication
4847,4,5,5_duplications
4850,3,6,6_duplications
4851,7,2,2_duplications
4852,6,3,3_duplications
4854,4,5,5_duplications
4855,2,7,7_duplications
4856,5,4,4_duplications
4858,7,2,2_duplications
4859,8,1,1_duplication
486,6,3,3_duplications
4861,9,0,0_duplications (super-image complète)
4862,9,0,0_duplications (super-image complète)
4863,7,2,2_duplications
4864,9,0,0_duplications (super-image complète)
4865,8,1,1_duplication
4866,7,2,2_duplications
4867,7,2,2_duplications
4869,9,0,0_duplications (super-image complète)
487,4,5,5_duplications
4871,8,1,1_duplication
4873,6,3,3_duplications
4875,7,2,2_duplications
4876,5,4,4_duplications
4877,9,0,0_duplications (super-image complète)
4878,9,0,0_duplications (super-image complète)
488,5,4,4_duplications
4881,7,2,2_duplications
4883,8,1,1_duplication
4885,6,3,3_duplications
4886,6,3,3_duplications
4887,9,0,0_duplications (super-image complète)
4888,7,2,2_duplications
4889,5,4,4_duplications
489,4,5,5_duplications
4891,5,4,4_duplications
4892,5,4,4_duplications
4893,6,3,3_duplications
4894,5,4,4_duplications
4897,8,1,1_duplication
4899,3,6,6_duplications
4900,3,6,6_duplications
4901,9,0,0_duplications (super-image complète)
4902,4,5,5_duplications
4903,5,4,4_duplications
4904,8,1,1_duplication
4907,5,4,4_duplications
4908,5,4,4_duplications
4909,7,2,2_duplications
491,3,6,6_duplications
4910,8,1,1_duplication
4912,5,4,4_duplications
4914,3,6,6_duplications
4915,7,2,2_duplications
4916,9,0,0_duplications (super-image complète)
4917,7,2,2_duplications
4918,6,3,3_duplications
492,7,2,2_duplications
4920,7,2,2_duplications
4921,2,7,7_duplications
4922,4,5,5_duplications
4923,7,2,2_duplications
4924,9,0,0_duplications (super-image complète)
4925,6,3,3_duplications
4926,7,2,2_duplications
4928,8,1,1_duplication
4929,8,1,1_duplication
493,5,4,4_duplications
4931,7,2,2_duplications
4932,6,3,3_duplications
4933,9,0,0_duplications (super-image complète)
4934,6,3,3_duplications
4935,3,6,6_duplications
4938,8,1,1_duplication
4939,6,3,3_duplications
4940,9,0,0_duplications (super-image complète)
4941,9,0,0_duplications (super-image complète)
4943,9,0,0_duplications (super-image complète)
4945,7,2,2_duplications
4946,8,1,1_duplication
4947,6,3,3_duplications
4948,8,1,1_duplication
4949,8,1,1_duplication
4950,8,1,1_duplication
4952,8,1,1_duplication
4953,5,4,4_duplications
4954,6,3,3_duplications
4955,9,0,0_duplications (super-image complète)
4957,9,0,0_duplications (super-image complète)
4958,4,5,5_duplications
4959,4,5,5_duplications
496,9,0,0_duplications (super-image complète)
4960,9,0,0_duplications (super-image complète)
4961,9,0,0_duplications (super-image complète)
4962,9,0,0_duplications (super-image complète)
4963,7,2,2_duplications
4965,9,0,0_duplications (super-image complète)
4966,9,0,0_duplications (super-image complète)
4967,5,4,4_duplications
497,8,1,1_duplication
4970,6,3,3_duplications
4971,9,0,0_duplications (super-image complète)
4972,6,3,3_duplications
4973,9,0,0_duplications (super-image complète)
4975,8,1,1_duplication
498,7,2,2_duplications
4982,9,0,0_duplications (super-image complète)
4983,7,2,2_duplications
4984,7,2,2_duplications
4987,8,1,1_duplication
4988,3,6,6_duplications
4991,9,0,0_duplications (super-image complète)
4992,8,1,1_duplication
4993,5,4,4_duplications
4994,5,4,4_duplications
4995,8,1,1_duplication
4996,7,2,2_duplications
4997,9,0,0_duplications (super-image complète)
4998,7,2,2_duplications
4999,9,0,0_duplications (super-image complète)
500,9,0,0_duplications (super-image complète)
5000,9,0,0_duplications (super-image complète)
5001,8,1,1_duplication
5002,9,0,0_duplications (super-image complète)
5004,8,1,1_duplication
5005,9,0,0_duplications (super-image complète)
5006,7,2,2_duplications
5008,5,4,4_duplications
5009,9,0,0_duplications (super-image complète)
5010,6,3,3_duplications
5012,8,1,1_duplication
5013,9,0,0_duplications (super-image complète)
5014,9,0,0_duplications (super-image complète)
5018,8,1,1_duplication
5019,9,0,0_duplications (super-image complète)
5020,9,0,0_duplications (super-image complète)
5022,8,1,1_duplication
5024,9,0,0_duplications (super-image complète)
5025,9,0,0_duplications (super-image complète)
5026,9,0,0_duplications (super-image complète)
5028,8,1,1_duplication
5029,7,2,2_duplications
503,9,0,0_duplications (super-image complète)
5030,9,0,0_duplications (super-image complète)
5031,5,4,4_duplications
5032,6,3,3_duplications
5033,4,5,5_duplications
5035,8,1,1_duplication
5037,8,1,1_duplication
5038,8,1,1_duplication
5039,8,1,1_duplication
504,9,0,0_duplications (super-image complète)
5040,6,3,3_duplications
5041,6,3,3_duplications
5042,9,0,0_duplications (super-image complète)
5043,9,0,0_duplications (super-image complète)
5045,7,2,2_duplications
5047,8,1,1_duplication
5048,6,3,3_duplications
5049,9,0,0_duplications (super-image complète)
5050,5,4,4_duplications
5051,7,2,2_duplications
5052,5,4,4_duplications
5053,8,1,1_duplication
5054,7,2,2_duplications
5055,6,3,3_duplications
5056,8,1,1_duplication
5057,4,5,5_duplications
5058,7,2,2_duplications
5059,9,0,0_duplications (super-image complète)
506,9,0,0_duplications (super-image complète)
5060,4,5,5_duplications
5062,9,0,0_duplications (super-image complète)
5063,5,4,4_duplications
5065,3,6,6_duplications
5066,8,1,1_duplication
5068,3,6,6_duplications
5069,5,4,4_duplications
507,8,1,1_duplication
5070,8,1,1_duplication
5071,4,5,5_duplications
5072,6,3,3_duplications
5075,8,1,1_duplication
5076,9,0,0_duplications (super-image complète)
5077,4,5,5_duplications
5079,6,3,3_duplications
508,8,1,1_duplication
5080,9,0,0_duplications (super-image complète)
5081,8,1,1_duplication
5082,7,2,2_duplications
5084,7,2,2_duplications
5085,5,4,4_duplications
5086,9,0,0_duplications (super-image complète)
5087,5,4,4_duplications
5088,6,3,3_duplications
509,7,2,2_duplications
5090,6,3,3_duplications
5091,6,3,3_duplications
5092,8,1,1_duplication
5096,5,4,4_duplications
5097,7,2,2_duplications
5099,8,1,1_duplication
510,9,0,0_duplications (super-image complète)
5100,5,4,4_duplications
5102,3,6,6_duplications
5103,4,5,5_duplications
5104,8,1,1_duplication
5106,7,2,2_duplications
5107,4,5,5_duplications
5108,7,2,2_duplications
5109,9,0,0_duplications (super-image complète)
511,9,0,0_duplications (super-image complète)
5110,7,2,2_duplications
5111,4,5,5_duplications
5113,6,3,3_duplications
5114,8,1,1_duplication
5115,2,7,7_duplications
5116,2,7,7_duplications
5117,2,7,7_duplications
5118,1,8,8_duplications (9x la même photo)
5119,7,2,2_duplications
512,9,0,0_duplications (super-image complète)
5122,1,8,8_duplications (9x la même photo)
5123,5,4,4_duplications
5124,3,6,6_duplications
5126,1,8,8_duplications (9x la même photo)
5127,2,7,7_duplications
5128,1,8,8_duplications (9x la même photo)
5129,3,6,6_duplications
513,9,0,0_duplications (super-image complète)
5131,2,7,7_duplications
5132,6,3,3_duplications
5133,7,2,2_duplications
5135,1,8,8_duplications (9x la même photo)
5136,6,3,3_duplications
5137,1,8,8_duplications (9x la même photo)
5138,6,3,3_duplications
5139,2,7,7_duplications
514,8,1,1_duplication
5140,1,8,8_duplications (9x la même photo)
5141,9,0,0_duplications (super-image complète)
5142,2,7,7_duplications
5143,2,7,7_duplications
5144,3,6,6_duplications
5145,5,4,4_duplications
5146,2,7,7_duplications
5147,5,4,4_duplications
5148,3,6,6_duplications
5149,1,8,8_duplications (9x la même photo)
515,8,1,1_duplication
5150,1,8,8_duplications (9x la même photo)
5151,4,5,5_duplications
5152,7,2,2_duplications
5153,1,8,8_duplications (9x la même photo)
5154,7,2,2_duplications
5155,6,3,3_duplications
5156,2,7,7_duplications
5158,7,2,2_duplications
5159,6,3,3_duplications
516,9,0,0_duplications (super-image complète)
5161,4,5,5_duplications
5162,3,6,6_duplications
5166,2,7,7_duplications
5168,1,8,8_duplications (9x la même photo)
5171,1,8,8_duplications (9x la même photo)
5172,6,3,3_duplications
5173,9,0,0_duplications (super-image complète)
5175,6,3,3_duplications
5176,6,3,3_duplications
5177,3,6,6_duplications
5178,1,8,8_duplications (9x la même photo)
5179,2,7,7_duplications
518,9,0,0_duplications (super-image complète)
5180,3,6,6_duplications
5184,4,5,5_duplications
5185,4,5,5_duplications
5186,4,5,5_duplications
5189,3,6,6_duplications
519,9,0,0_duplications (super-image complète)
5190,3,6,6_duplications
5191,1,8,8_duplications (9x la même photo)
5192,2,7,7_duplications
5195,1,8,8_duplications (9x la même photo)
5196,6,3,3_duplications
5199,9,0,0_duplications (super-image complète)
520,9,0,0_duplications (super-image complète)
5200,9,0,0_duplications (super-image complète)
5201,5,4,4_duplications
5204,8,1,1_duplication
5205,1,8,8_duplications (9x la même photo)
5207,6,3,3_duplications
5208,5,4,4_duplications
5209,2,7,7_duplications
521,8,1,1_duplication
5210,1,8,8_duplications (9x la même photo)
5211,2,7,7_duplications
5212,2,7,7_duplications
5214,2,7,7_duplications
5215,2,7,7_duplications
5218,2,7,7_duplications
5219,5,4,4_duplications
522,7,2,2_duplications
5221,3,6,6_duplications
5222,9,0,0_duplications (super-image complète)
5223,5,4,4_duplications
5224,6,3,3_duplications
5225,8,1,1_duplication
5226,5,4,4_duplications
5227,5,4,4_duplications
5228,9,0,0_duplications (super-image complète)
5229,9,0,0_duplications (super-image complète)
523,9,0,0_duplications (super-image complète)
5232,8,1,1_duplication
5233,5,4,4_duplications
5238,9,0,0_duplications (super-image complète)
5239,8,1,1_duplication
524,9,0,0_duplications (super-image complète)
5240,8,1,1_duplication
5241,7,2,2_duplications
5242,8,1,1_duplication
5243,9,0,0_duplications (super-image complète)
5245,7,2,2_duplications
5246,5,4,4_duplications
5247,9,0,0_duplications (super-image complète)
5248,4,5,5_duplications
5250,4,5,5_duplications
5251,7,2,2_duplications
5252,5,4,4_duplications
5253,7,2,2_duplications
5254,5,4,4_duplications
5256,7,2,2_duplications
5257,5,4,4_duplications
526,9,0,0_duplications (super-image complète)
5261,3,6,6_duplications
5262,6,3,3_duplications
5263,7,2,2_duplications
5264,8,1,1_duplication
5265,9,0,0_duplications (super-image complète)
5266,7,2,2_duplications
5267,9,0,0_duplications (super-image complète)
5268,6,3,3_duplications
5269,4,5,5_duplications
527,7,2,2_duplications
5270,7,2,2_duplications
5271,9,0,0_duplications (super-image complète)
5273,8,1,1_duplication
5274,5,4,4_duplications
5275,3,6,6_duplications
5277,8,1,1_duplication
5278,9,0,0_duplications (super-image complète)
5279,9,0,0_duplications (super-image complète)
528,8,1,1_duplication
5281,7,2,2_duplications
5282,8,1,1_duplication
5283,7,2,2_duplications
5284,1,8,8_duplications (9x la même photo)
5287,5,4,4_duplications
5288,5,4,4_duplications
5289,6,3,3_duplications
529,8,1,1_duplication
5290,9,0,0_duplications (super-image complète)
5291,5,4,4_duplications
5292,4,5,5_duplications
5293,9,0,0_duplications (super-image complète)
5294,9,0,0_duplications (super-image complète)
5295,8,1,1_duplication
5297,4,5,5_duplications
5299,7,2,2_duplications
530,8,1,1_duplication
5300,9,0,0_duplications (super-image complète)
5301,9,0,0_duplications (super-image complète)
5302,8,1,1_duplication
5303,5,4,4_duplications
5304,6,3,3_duplications
5305,9,0,0_duplications (super-image complète)
5306,7,2,2_duplications
5308,3,6,6_duplications
5309,3,6,6_duplications
531,9,0,0_duplications (super-image complète)
5310,6,3,3_duplications
5312,8,1,1_duplication
5313,8,1,1_duplication
5314,9,0,0_duplications (super-image complète)
5316,7,2,2_duplications
5317,6,3,3_duplications
5319,7,2,2_duplications
5320,5,4,4_duplications
5321,5,4,4_duplications
5322,9,0,0_duplications (super-image complète)
5327,8,1,1_duplication
5328,6,3,3_duplications
5329,8,1,1_duplication
533,8,1,1_duplication
5330,4,5,5_duplications
5332,4,5,5_duplications
5333,7,2,2_duplications
5334,7,2,2_duplications
5335,5,4,4_duplications
5336,9,0,0_duplications (super-image complète)
5337,4,5,5_duplications
5338,5,4,4_duplications
5339,6,3,3_duplications
534,8,1,1_duplication
5340,9,0,0_duplications (super-image complète)
5341,7,2,2_duplications
5342,6,3,3_duplications
5344,9,0,0_duplications (super-image complète)
5345,3,6,6_duplications
5346,4,5,5_duplications
5347,9,0,0_duplications (super-image complète)
5349,5,4,4_duplications
5350,7,2,2_duplications
5352,5,4,4_duplications
5353,8,1,1_duplication
5355,9,0,0_duplications (super-image complète)
5356,6,3,3_duplications
5357,8,1,1_duplication
5358,9,0,0_duplications (super-image complète)
5360,5,4,4_duplications
5362,8,1,1_duplication
5363,4,5,5_duplications
5365,3,6,6_duplications
5366,7,2,2_duplications
5368,9,0,0_duplications (super-image complète)
5369,9,0,0_duplications (super-image complète)
5370,9,0,0_duplications (super-image complète)
5371,9,0,0_duplications (super-image complète)
5372,9,0,0_duplications (super-image complète)
5374,9,0,0_duplications (super-image complète)
5375,9,0,0_duplications (super-image complète)
5376,6,3,3_duplications
5377,7,2,2_duplications
5378,9,0,0_duplications (super-image complète)
538,9,0,0_duplications (super-image complète)
5380,4,5,5_duplications
5381,6,3,3_duplications
5384,5,4,4_duplications
5385,6,3,3_duplications
5386,8,1,1_duplication
5387,7,2,2_duplications
5388,9,0,0_duplications (super-image complète)
5389,7,2,2_duplications
5390,8,1,1_duplication
5391,6,3,3_duplications
5392,8,1,1_duplication
5393,8,1,1_duplication
5394,8,1,1_duplication
5395,5,4,4_duplications
5397,9,0,0_duplications (super-image complète)
5398,7,2,2_duplications
5399,5,4,4_duplications
540,9,0,0_duplications (super-image complète)
5401,8,1,1_duplication
5402,6,3,3_duplications
5403,9,0,0_duplications (super-image complète)
542,8,1,1_duplication
543,7,2,2_duplications
545,5,4,4_duplications
546,7,2,2_duplications
547,7,2,2_duplications
548,6,3,3_duplications
549,4,5,5_duplications
551,7,2,2_duplications
553,9,0,0_duplications (super-image complète)
554,8,1,1_duplication
555,8,1,1_duplication
556,5,4,4_duplications
557,7,2,2_duplications
558,9,0,0_duplications (super-image complète)
559,8,1,1_duplication
561,9,0,0_duplications (super-image complète)
562,9,0,0_duplications (super-image complète)
563,8,1,1_duplication
565,8,1,1_duplication
567,5,4,4_duplications
568,7,2,2_duplications
569,8,1,1_duplication
571,8,1,1_duplication
572,8,1,1_duplication
573,7,2,2_duplications
574,8,1,1_duplication
575,9,0,0_duplications (super-image complète)
576,6,3,3_duplications
579,8,1,1_duplication
580,6,3,3_duplications
581,5,4,4_duplications
582,6,3,3_duplications
583,8,1,1_duplication
585,8,1,1_duplication
588,7,2,2_duplications
589,9,0,0_duplications (super-image complète)
590,5,4,4_duplications
591,6,3,3_duplications
592,5,4,4_duplications
593,6,3,3_duplications
594,5,4,4_duplications
596,5,4,4_duplications
597,5,4,4_duplications
598,5,4,4_duplications
599,7,2,2_duplications
601,5,4,4_duplications
602,4,5,5_duplications
603,4,5,5_duplications
605,5,4,4_duplications
607,1,8,8_duplications (9x la même photo)
608,7,2,2_duplications
609,7,2,2_duplications
610,8,1,1_duplication
611,9,0,0_duplications (super-image complète)
612,8,1,1_duplication
613,9,0,0_duplications (super-image complète)
615,8,1,1_duplication
616,8,1,1_duplication
617,8,1,1_duplication
620,9,0,0_duplications (super-image complète)
621,8,1,1_duplication
622,8,1,1_duplication
623,4,5,5_duplications
624,7,2,2_duplications
625,7,2,2_duplications
627,7,2,2_duplications
628,5,4,4_duplications
629,7,2,2_duplications
630,7,2,2_duplications
631,5,4,4_duplications
632,7,2,2_duplications
633,7,2,2_duplications
634,5,4,4_duplications
637,8,1,1_duplication
639,9,0,0_duplications (super-image complète)
640,6,3,3_duplications
641,7,2,2_duplications
642,6,3,3_duplications
643,8,1,1_duplication
644,8,1,1_duplication
646,4,5,5_duplications
647,9,0,0_duplications (super-image complète)
648,9,0,0_duplications (super-image complète)
649,9,0,0_duplications (super-image complète)
650,9,0,0_duplications (super-image complète)
652,9,0,0_duplications (super-image complète)
654,7,2,2_duplications
655,8,1,1_duplication
656,9,0,0_duplications (super-image complète)
657,7,2,2_duplications
658,8,1,1_duplication
659,8,1,1_duplication
660,8,1,1_duplication
665,9,0,0_duplications (super-image complète)
667,8,1,1_duplication
669,9,0,0_duplications (super-image complète)
671,7,2,2_duplications
674,9,0,0_duplications (super-image complète)
676,8,1,1_duplication
677,5,4,4_duplications
678,2,7,7_duplications
679,6,3,3_duplications
680,5,4,4_duplications
681,4,5,5_duplications
682,5,4,4_duplications
683,6,3,3_duplications
684,4,5,5_duplications
685,5,4,4_duplications
687,4,5,5_duplications
688,5,4,4_duplications
689,7,2,2_duplications
690,6,3,3_duplications
691,3,6,6_duplications
694,4,5,5_duplications
695,2,7,7_duplications
696,7,2,2_duplications
698,5,4,4_duplications
699,6,3,3_duplications
700,7,2,2_duplications
701,4,5,5_duplications
702,2,7,7_duplications
703,5,4,4_duplications
704,5,4,4_duplications
705,5,4,4_duplications
706,6,3,3_duplications
709,8,1,1_duplication
711,7,2,2_duplications
712,9,0,0_duplications (super-image complète)
713,9,0,0_duplications (super-image complète)
714,6,3,3_duplications
716,7,2,2_duplications
717,8,1,1_duplication
719,9,0,0_duplications (super-image complète)
720,8,1,1_duplication
721,7,2,2_duplications
722,7,2,2_duplications
723,2,7,7_duplications
724,4,5,5_duplications
725,3,6,6_duplications
726,5,4,4_duplications
727,6,3,3_duplications
728,6,3,3_duplications
730,7,2,2_duplications
733,9,0,0_duplications (super-image complète)
736,4,5,5_duplications
737,5,4,4_duplications
738,6,3,3_duplications
739,6,3,3_duplications
741,5,4,4_duplications
742,8,1,1_duplication
743,9,0,0_duplications (super-image complète)
744,6,3,3_duplications
745,6,3,3_duplications
746,9,0,0_duplications (super-image complète)
747,5,4,4_duplications
748,7,2,2_duplications
750,5,4,4_duplications
751,8,1,1_duplication
753,9,0,0_duplications (super-image complète)
754,8,1,1_duplication
755,6,3,3_duplications
756,7,2,2_duplications
758,3,6,6_duplications
759,6,3,3_duplications
760,8,1,1_duplication
761,5,4,4_duplications
762,5,4,4_duplications
764,6,3,3_duplications
766,8,1,1_duplication
767,8,1,1_duplication
769,7,2,2_duplications
770,4,5,5_duplications
771,9,0,0_duplications (super-image complète)
773,4,5,5_duplications
774,6,3,3_duplications
775,6,3,3_duplications
776,5,4,4_duplications
777,7,2,2_duplications
778,9,0,0_duplications (super-image complète)
779,6,3,3_duplications
780,3,6,6_duplications
781,8,1,1_duplication
782,6,3,3_duplications
783,8,1,1_duplication
784,8,1,1_duplication
785,7,2,2_duplications
786,6,3,3_duplications
787,5,4,4_duplications
788,7,2,2_duplications
789,6,3,3_duplications
790,6,3,3_duplications
791,7,2,2_duplications
792,7,2,2_duplications
793,8,1,1_duplication
794,7,2,2_duplications
795,7,2,2_duplications
796,7,2,2_duplications
798,7,2,2_duplications
800,7,2,2_duplications
801,5,4,4_duplications
802,7,2,2_duplications
805,7,2,2_duplications
806,7,2,2_duplications
807,4,5,5_duplications
808,8,1,1_duplication
809,6,3,3_duplications
811,9,0,0_duplications (super-image complète)
813,5,4,4_duplications
814,8,1,1_duplication
815,8,1,1_duplication
817,8,1,1_duplication
818,4,5,5_duplications
819,9,0,0_duplications (super-image complète)
821,7,2,2_duplications
822,8,1,1_duplication
824,2,7,7_duplications
825,6,3,3_duplications
826,6,3,3_duplications
827,8,1,1_duplication
828,9,0,0_duplications (super-image complète)
829,9,0,0_duplications (super-image complète)
831,9,0,0_duplications (super-image complète)
834,9,0,0_duplications (super-image complète)
835,7,2,2_duplications
836,6,3,3_duplications
837,8,1,1_duplication
838,8,1,1_duplication
840,7,2,2_duplications
842,8,1,1_duplication
